nome;endereco;lat_lng
Feira da Praça da República;;-21.761454663301063, -41.32644966815649
Feira do Parque Tamandaré;;-21.759439288780488, -41.33809813359866
Feira da Praça do IPS;;-21.78039545205771, -41.324299009038775
Feira da Praça do Flamboyant;;-21.77249800471246, -41.307160743972105
Feira do Parque Imperial;;-21.80002388499021, -41.301654161165295
Feira do Jardim Carioca;;-21.741933246061866, -41.321718844850665
Feria da Praça Rosário do Sacro;;-21.750555404859323, -41.33900922887292
Feira do Farol de São Thomé;;-22.03945337882106, -41.0508419360085
Feira do Turf Club;;-21.773804469903897, -41.312071157873824
Feira da Penha;;-21.79212965077212, -41.29689363418047
